species,SSE,SSE_p,Chisq,Chisq_p,freemanTukey,freemanTukey_p,c_hat
MTOR,670.055,0.962,1621.759,0.993,805.441,0.973,0.922
FOTH,415.053,0.651, 778.318,0.928,472.246,0.633,0.951
BRQD,551.349,0.992,1562.385,0.999,683.814,0.984,0.000
TREM,596.392,0.660,1920.623,0.987,739.973,0.825,0.952
ACHU,697.114,0.934,1419.604,0.794,815.039,0.857,0.980
PTCA,677.535,0.864,1608.496,0.941,812.712,0.829,0.967
PETH, 45.214,0.583,  55.789,0.646, 48.683,0.504,0.933
GTCA,200.716,0.617,2536.326,0.806,301.699,0.517,0.000
SBTH,374.565,0.707, 589.016,0.916,417.901,0.578,0.519
SNPI,386.484,0.971, 677.274,0.993,440.479,0.922,0.915
CAEL,196.441,0.457,2430.602,0.428,288.776,0.376,0.084
BANA,151.683,0.579, 169.852,0.569,157.034,0.538,0.984
